Date,Campaign name,Ad set name,country,audience description,Amount spent (USD),return,Total investment,corection factor
2018-08-03,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",AU,"Lookalike (AU, 2%) - rainfactoryS71C",9.62,0.0,320.28,3127.6758141004075
2018-08-05,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",AU,"Lookalike (AU, 2%) - rainfactoryS71C",8.1,0.0,353.21000000000004,3495.9284523999804
2018-07-24,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.02,0.0,270.98999999999995,2647.674936782906
2018-07-31,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.04,0.0,369.93,3699.195417617022
2018-08-02,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.09,0.0,584.0299999999999,7627.869243401416
2018-08-03,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.05,0.0,320.28,3127.6758141004075
2018-08-04,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.07,0.0,294.82,2869.7680018495794
2018-08-05,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.01,0.0,353.21000000000004,3495.9284523999804
2018-08-06,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.1,0.0,40.32,1214.0712039750565
2018-08-07,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.26,0.0,301.51,2935.40223313117
2018-07-12,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.02,0.0,8.820000000000002,1091.446808909038
2018-07-13,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.01,0.0,28.199999999999996,1165.3386720401934
2018-07-15,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",AU,"Lookalike (AU, 2%) - rainfactoryS71C",0.0,0.0,103.74000000000002,1504.3326402977202
